% This dataset was download from the following url: 
% http://www195.pair.com/mik3hall/weka_kaggle.html
% The webpage saves an interesting explanation of the origins and nature of the problem.
% It was partially used in the following kaggle competition: 
% https://www.kaggle.com/c/titanic
% This competition is recommended in order to start taking part in the competitions hosted by kaggle. 
% Other versions of the "titanic.arff" dataset can be found in Internet

@relation train

@attribute pclass {1,2,3}
@attribute sex {female,male}
@attribute age numeric
@attribute sibsp numeric
@attribute fare numeric
@attribute cabin {'B45','E31','B57 B59 B63 B66','B36','A21','C78','D34','D19','A9','D15','D56','C103','C123','C31','C23 C25 C27','F G63','B61','C53','D43','C130','C132','C101','C55 C57','B71','C46','C116','F','A29','G6','C6','C28','C51','E46','C54','C97','D22','B10','F4','E45','E52','D30','B58 B60','E34','C62 C64','A11','B11','C80','F33','C85','D37','C86','D21','C89','F E46','A34','D','B26','C22 C26','B69','C32','B78','F E57','F2','A18','C106','B51 B53 B55','D10 D12','E60','E50','E39 E41','B52 B54 B56','C39','B24','D28','B41','C7','D40','D38','C105','A6','D33','B30','C52','B28','C83','F G73','A5','D26','C110','E101','F E69','D47','B86','C2','E33','B19','A7','C49','A32','B4','B80','A31','D36','C93','D35','C87','B77','E67','B94','C125','C99','C118','D7','A19','B49','C65','E36','B18','C124','C91','E40','T','C128','B35','C82','B96 B98','E10','E44','C104','C111','C92','E38','E12','E63','A14','B37','C30','D20','B79','E25','D46','B73','C95','B38','B39','B22','C70','A16','C68','A10','E68','A20','D50','D9','A23','B50','A26','D48','E58','C126','D49','B5','B20','E24','C90','C45','E8','B101','D45','E121','D11','E77','F38','B3','D6','B82 B84','D17','A36','B102','E49','C47','E17','A24','C50','B42','C148'}
@attribute embarked {C,Q,S}
@attribute survived {0,1}

@data
3,male,30,0,7.8958,?,S,0
3,female,32,1,15.5,?,Q,0
2,male,23,0,13,?,S,0
1,male,58,0,113.275,"D48",C,0
1,male,50,2,133.65,?,S,1
3,male,40,0,7.225,?,C,0
1,male,47,0,25.5875,"E58",S,0
3,male,36,0,7.4958,?,S,0
3,male,20,1,7.925,?,S,1
2,male,32,2,73.5,?,S,0
2,male,25,0,13,?,S,0
3,male,30,0,7.775,?,S,0
3,male,43,0,8.05,?,S,0
1,female,30,1,52,"C126",S,1
2,female,40,1,39,?,S,1
1,male,31,1,52,"B71",S,0
2,male,70,0,10.5,?,S,0
2,male,31,0,13,?,S,1
2,male,30,0,0,?,S,0
3,male,18,0,7.775,?,S,0
3,male,24.5,0,8.05,?,S,0
3,female,18,0,9.8417,?,S,1
3,female,43,1,46.9,?,S,0
1,male,36,0,512.3292,"B51 B53 B55",C,1
3,female,30,0,8.1375,?,Q,0
1,male,27,0,76.7292,"D49",C,1
3,male,20,0,9.225,?,S,0
3,male,14,5,46.9,?,S,0
2,male,60,1,39,?,S,0
2,male,25,1,41.5792,?,C,0
3,male,14,4,39.6875,?,S,0
3,male,19,0,10.1708,?,S,0
3,male,18,0,7.7958,?,S,0
1,female,15,0,211.3375,"B5",S,1
1,male,31,1,57,"B20",S,1
3,female,4,0,13.4167,?,C,1
3,male,30,0,56.4958,?,S,1
3,male,25,0,7.225,?,C,0
1,male,60,0,26.55,?,S,0
2,male,52,0,13.5,?,S,0
3,male,44,0,8.05,?,S,0
3,female,30,0,7.7333,?,Q,1
1,male,49,1,110.8833,"C68",C,0
3,male,42,0,7.65,"F G63",S,0
1,female,18,1,227.525,"C62 C64",C,1
1,male,35,0,26.2875,"E24",S,1
3,female,18,0,14.4542,?,C,0
3,male,25,0,7.7417,?,Q,0
3,male,26,1,7.8542,?,S,0
2,male,39,0,26,?,S,0
2,female,45,0,13.5,?,S,1
1,male,42,0,26.2875,"E24",S,1
1,female,22,0,151.55,?,S,1
3,male,30,1,15.2458,?,C,1
1,female,24,0,49.5042,"C90",C,1
1,male,30,0,26.55,"C124",S,0
1,male,48,1,52,"C126",S,1
3,male,29,0,9.4833,?,S,0
2,male,52,0,13,?,S,0
3,male,19,0,7.65,"F G73",S,0
1,female,38,0,227.525,"C45",C,1
2,female,27,0,10.5,"E101",S,1
3,male,30,0,15.5,?,Q,0
3,male,33,0,7.775,?,S,0
2,female,6,0,33,?,S,1
3,male,17,1,7.0542,?,S,0
2,male,34,0,13,?,S,0
2,male,50,0,13,?,S,0
1,male,27,1,53.1,"E8",S,1
3,male,20,0,8.6625,?,S,0
2,female,30,3,21,?,S,1
3,female,30,0,7.7375,?,Q,1
2,male,25,1,26,?,S,0
3,female,25,1,7.925,?,S,0
1,female,29,0,211.3375,"B5",S,1
3,male,11,0,18.7875,?,C,0
2,male,30,0,0,?,S,0
2,male,23,0,13,?,S,0
2,male,23,0,13,?,S,0
3,male,28.5,0,16.1,?,S,0
3,female,48,1,34.375,?,S,0
1,male,35,0,512.3292,"B101",C,1
3,male,30,0,7.8958,?,S,0
3,male,30,0,7.8958,?,S,0
1,male,30,0,30,"D45",S,1
1,male,36,1,78.85,"C46",S,0
1,female,21,2,262.375,"B57 B59 B63 B66",C,1
3,male,24,1,16.1,?,S,0
3,male,31,0,7.925,?,S,1
1,male,70,1,71,"B22",S,0
3,male,16,1,20.25,?,S,0
2,female,30,0,13,?,S,1
1,male,19,1,53.1,"D30",S,0
3,male,31,0,7.75,?,Q,0
2,female,4,1,23,?,S,1
3,male,6,0,12.475,"E121",S,1
3,male,33,0,9.5,?,S,0
3,male,23,0,7.8958,?,S,0
2,female,48,1,65,?,S,1
2,male,0.67,1,14.5,?,S,1
3,male,28,0,7.7958,?,S,0
2,male,18,0,11.5,?,S,0
3,male,34,0,8.05,?,S,0
1,female,33,0,86.5,"B77",S,1
3,male,30,0,14.5,?,S,0
3,male,41,0,7.125,?,S,0
3,male,20,0,7.2292,?,C,1
1,female,36,1,120,"B96 B98",S,1
3,male,16,0,7.775,?,S,0
1,female,51,1,77.9583,"D11",S,1
1,male,30,0,39.6,?,C,0
3,female,30.5,0,7.75,?,Q,0
3,male,30,1,24.15,?,Q,0
3,male,32,0,8.3625,?,S,0
3,male,24,0,9.5,?,S,0
3,male,48,0,7.8542,?,S,0
2,female,57,0,10.5,"E77",S,0
3,male,30,0,7.225,?,C,0
2,female,54,1,23,?,S,1
3,male,18,0,7.75,?,S,0
3,male,30,0,7.75,"F38",Q,0
3,female,5,0,12.475,?,S,1
3,male,30,0,7.7375,?,Q,0
1,female,43,0,211.3375,"B3",S,1
3,female,13,0,7.2292,?,C,1
1,female,17,1,57,"B20",S,1
1,male,29,0,30,"D6",S,0
3,male,30,1,23.45,?,S,0
3,male,25,0,7.05,?,S,0
3,male,25,0,7.25,?,S,0
3,female,18,0,7.4958,?,S,1
3,male,8,4,29.125,?,Q,0
3,male,1,1,20.575,?,S,1
1,male,46,0,79.2,"B82 B84",C,0
3,male,30,0,7.75,?,Q,0
2,male,16,0,26,?,S,0
3,female,30,8,69.55,?,S,0
1,male,30,0,30.6958,?,C,0
3,male,25,0,7.8958,?,S,0
2,male,39,0,13,?,S,0
1,female,49,0,25.9292,"D17",S,1
3,female,31,0,8.6833,?,S,1
3,male,30,0,7.2292,?,C,0
3,female,30,1,24.15,?,S,0
2,male,34,0,13,?,S,0
2,female,31,1,26.25,?,S,1
1,male,11,1,120,"B96 B98",S,1
3,male,0.42,0,8.5167,?,C,1
3,male,27,0,6.975,?,S,1
3,male,31,0,7.775,?,S,0
1,male,39,0,0,"A36",S,0
3,female,18,0,7.775,?,S,0
2,male,39,0,13,?,S,0
1,female,33,1,53.1,"E8",S,1
3,male,26,0,7.8875,?,S,0
3,male,39,0,24.15,?,S,0
2,male,35,0,10.5,?,S,0
3,female,6,4,31.275,?,S,0
3,male,30.5,0,8.05,?,S,0
1,male,30,0,0,"B102",S,0
3,female,23,0,7.925,?,S,0
2,male,31,1,37.0042,?,C,0
3,male,43,0,6.45,?,S,0
3,male,10,3,27.9,?,S,0
1,female,52,1,93.5,"B69",S,1
3,male,27,0,8.6625,?,S,1
1,male,38,0,0,?,S,0
3,female,27,0,12.475,"E121",S,1
3,male,2,4,39.6875,?,S,0
3,male,30,0,6.95,?,Q,0
3,male,30,0,56.4958,?,S,0
2,male,1,0,37.0042,?,C,1
3,male,30,0,7.75,?,Q,1
1,female,62,0,80,"B28",?,1
3,female,15,1,14.4542,?,C,1
2,male,0.83,1,18.75,?,S,1
3,male,30,0,7.2292,?,C,0
3,male,23,0,7.8542,?,S,0
3,male,18,0,8.3,?,S,0
1,female,39,1,83.1583,"E49",C,1
3,male,21,0,8.6625,?,S,0
3,male,30,0,8.05,?,S,0
3,male,32,0,56.4958,?,S,1
1,male,30,0,29.7,"C47",C,1
3,male,20,0,7.925,?,S,0
2,male,16,0,10.5,?,S,0
1,female,30,0,31,?,C,1
3,male,34.5,0,6.4375,?,C,0
3,male,17,0,8.6625,?,S,0
3,male,42,0,7.55,?,S,0
3,male,30,8,69.55,?,S,0
3,male,35,0,7.8958,?,C,0
2,male,28,0,33,?,S,0
1,female,30,1,89.1042,"C92",C,1
3,male,4,4,31.275,?,S,0
3,male,74,0,7.775,?,S,0
3,female,9,1,15.2458,?,C,0
1,female,16,0,39.4,"D28",S,1
2,female,44,1,26,?,S,0
3,female,18,0,9.35,?,S,1
1,female,45,1,164.8667,?,S,1
1,male,51,0,26.55,"E17",S,1
3,female,24,0,19.2583,?,C,1
3,male,30,0,7.2292,?,C,0
3,male,41,2,14.1083,?,S,0
2,male,21,1,11.5,?,S,0
1,female,48,0,25.9292,"D17",S,1
3,female,30,8,69.55,?,S,0
2,male,24,0,13,?,S,0
2,female,42,0,13,?,S,1
2,female,27,1,13.8583,?,C,1
1,male,31,0,50.4958,"A24",S,0
3,male,30,0,9.5,?,S,0
3,male,4,1,11.1333,?,S,1
3,male,26,0,7.8958,?,S,0
1,female,47,1,52.5542,"D35",S,1
1,male,33,0,5,"B51 B53 B55",S,0
3,male,47,0,9,?,S,0
2,female,28,1,24,?,C,1
3,female,15,0,7.225,?,C,1
3,male,20,0,9.8458,?,S,0
3,male,19,0,7.8958,?,S,0
3,male,30,0,7.8958,?,S,0
1,female,56,0,83.1583,"C50",C,1
2,female,25,0,26,?,S,1
3,male,33,0,7.8958,?,S,0
3,female,22,0,10.5167,?,S,0
2,male,28,0,10.5,?,S,0
3,male,25,0,7.05,?,S,0
3,female,39,0,29.125,?,Q,0
2,male,27,0,13,?,S,0
1,female,19,0,30,"B42",S,1
3,female,30,1,23.45,?,S,0
1,male,26,0,30,"C148",C,1
3,male,32,0,7.75,?,Q,0

